Country,US 2024 Deficit,US 2024 Exports,US 2024 Imports (Customs Basis),Trump Tariffs Alleged,Trump Response,Population,Export_Import_Ratio,Per_Capita_Exports,Per_Capita_Imports,Tariff_Differential
Eswatini,23.5,46.1,22.6,0.1,0.1,1230506.0,2.0398230088495573,3.746426266917837e-05,1.8366428119814126e-05,0.0
Ethiopia,551.9,1017.7,465.8,0.1,0.1,128691692.0,2.184843280377845,7.908047397496336e-06,3.619503269876971e-06,0.0
European Union,-235571.2,370189.2,605760.4,0.39,0.19,448804042.0,0.6111148896494389,0.0008248348173299206,0.0013497213556735302,0.2
Faroe Islands,-248.1,1.4,249.5,0.99,0.5,54482.0,0.0056112224448897794,2.569656033185272e-05,0.004579494144855182,0.49
Fiji,-164.6,94.7,259.3,0.63,0.32,924145.0,0.3652140377940609,0.00010247309675429722,0.0002805836746398022,0.31
French Polynesia,104.8,145.2,40.4,0.1,0.1,281118.0,3.5940594059405937,0.0005165090815956289,0.000143711893226332,0.0
Gabon,-0.6,171.1,171.7,0.1,0.1,2484789.0,0.9965055329062318,6.885896548962507e-05,6.910043468479617e-05,0.0
Gambia,78.6,80.6,2.0,0.1,0.1,2697845.0,40.3,2.98756970841542e-05,7.413324338499802e-07,0.0
Georgia,1571.0,1736.5,165.4,0.1,0.1,3715483.0,10.498790810157194,0.0004673685763062299,4.4516419534149397e-05,0.0
Ghana,-204.4,967.3,1171.7,0.17,0.1,33787914.0,0.8255526158573013,2.8628580030125565e-05,3.4678080452081184e-05,0.07
Gibraltar,650.2,650.6,0.4,0.1,0.1,38471.0,1626.5,0.01691143978581269,1.0397442229211615e-05,0.0
Greenland,15.8,48.4,32.6,0.1,0.1,56865.0,1.4846625766871164,0.000851138661742724,0.0005732876110085289,0.0
Grenada,151.3,165.3,14.1,0.1,0.1,117081.0,11.72340425531915,0.0014118430829938248,0.00012042944628077997,0.0
Guatemala*,4694.9,9714.8,5019.9,0.1,0.1,18124838.0,1.9352576744556664,0.0005359937561924691,0.0002769624754715049,0.0
Guinea,132.2,138.3,6.2,0.1,0.1,14405468.0,22.306451612903228,9.600521135446624e-06,4.3039212610100557e-07,0.0
Guinea-Bissau,3.3,3.4,0.1,0.1,0.1,2153339.0,34.0,1.5789432133073334e-06,4.64395062737451e-08,0.0
Guyana,-4060.6,1314.9,5375.5,0.76,0.38,826353.0,0.24460980373918706,0.0015912085997146499,0.006505089229421325,0.38
Haiti,597.7,1214.4,616.8,0.1,0.1,11637398.0,1.9688715953307396,0.00010435322397669995,5.3001538660102535e-05,0.0
Honduras**,1524.9,7057.5,5532.6,0.1,0.1,10644851.0,1.2756208654158985,0.0006629965980735663,0.0005197442406662151,0.0
Hong Kong,21913.5,27886.4,5972.9,0.1,0.1,7536100.0,4.668820840797603,0.003700375525802471,0.0007925717546210904,0.0
Iceland,-86.8,985.8,1072.6,0.1,0.1,393349.0,0.9190751445086706,0.002506171364360911,0.0027268405410970915,0.0
India,-45663.8,41752.7,87416.4,0.52,0.26,1438069596.0,0.4776300556874911,2.9033852127974476e-05,6.078732228478322e-05,0.26
Indonesia,-17882.6,10202.1,28084.7,0.64,0.32,281190067.0,0.3632618471979405,3.628186482134876e-05,9.987799462347296e-05,0.32
Iran,84.6,90.8,6.2,0.1,0.1,90608707.0,14.64516129032258,1.00211119887187e-06,6.842609507715412e-08,0.0
Iraq,-5761.7,1660.6,7422.3,0.78,0.39,45074049.0,0.22373118844563003,3.68415981444223e-05,0.0001646690316195024,0.39
Israel*,-7425.4,14792.0,22217.5,0.33,0.17,9756600.0,0.6657814785641949,0.0015161019207510812,0.0022771764754115163,0.16
Jamaica,2282.8,2644.1,361.4,0.1,0.1,2839786.0,7.316270060874378,0.0009310912864560921,0.00012726311067101534,0.0
Japan,-68467.7,79740.8,148208.6,0.46,0.23,124516650.0,0.5380308565090015,0.0006404027091959188,0.001190271341222238,0.23
Jordan*,-1334.1,2030.8,3364.9,0.4,0.2,11439213.0,0.603524621831258,0.00017752969544320923,0.00029415485138706656,0.2
Kazakhstan,-1253.7,1077.1,2330.7,0.54,0.27,20330104.0,0.46213583901832067,5.2980545500406684e-05,0.00011464279769547661,0.27
Kenya,45.2,782.5,737.3,0.1,0.1,55339003.0,1.0613047606130477,1.4140117414113876e-05,1.3323333635049405e-05,0.0
Kiribati (-),121.0,208.0,217.0,0.1,0.1,132530.0,0.9585253456221198,0.001569455972232702,0.0016373651248773862,0.0
Kosovo,15.4,49.4,34.0,0.1,0.1,1756366.0,1.4529411764705882,2.8126256144789866e-05,1.9358152002486952e-05,0.0
Kuwait,768.2,2411.8,1643.6,0.1,0.1,4853420.0,1.4673886590411294,0.0004969279394736084,0.0003386477988717234,0.0
Lebanon,283.8,541.4,257.6,0.1,0.1,5773493.0,2.1017080745341614,9.377338813782228e-05,4.4617703702074296e-05,0.0
Lesotho,-234.5,2.8,237.3,0.99,0.49,2311472.0,0.011799410029498523,1.211349304685499e-06,0.00010266185357209606,0.5
Liberia,147.9,220.4,72.5,0.1,0.1,5493031.0,3.04,4.0123567480321884e-05,1.3198541934316409e-05,0.0
Libya,-898.3,567.2,1465.6,0.61,0.31,7305659.0,0.3870087336244542,7.763844438947944e-05,0.00020061160806985378,0.3
Liechtenstein,-177.7,66.0,243.7,0.73,0.36,39850.0,0.2708247845711941,0.001656210790464241,0.00611543287327478,0.37
Madagascar,-679.8,53.4,733.2,0.93,0.46,31195932.0,0.07283142389525367,1.7117616489226864e-06,2.3503064438017112e-05,0.47000000000000003
Malawi,-14.1,26.9,41.1,0.34,0.17,21104482.0,0.6545012165450121,1.2746107675137441e-06,1.947453626201297e-06,0.17
Malaysia,-24830.1,27704.8,52534.8,0.47,0.24,35126298.0,0.5273609112435946,0.0007887196083116985,0.0014955974011266432,0.22999999999999998
Maldives,87.8,92.6,4.8,0.1,0.1,525994.0,19.291666666666668,0.0001760476355243596,9.125579379232462e-06,0.0
Mali,46.0,51.5,5.5,0.1,0.1,23769127.0,9.363636363636363,2.1666761257155133e-06,2.3139259595020045e-07,0.0
Marshall Islands,107.0,127.4,20.4,0.1,0.1,38827.0,6.245098039215687,0.003281221830169727,0.0005254075772014319,0.0
Mauritania,136.9,139.8,2.9,0.1,0.1,5022441.0,48.20689655172414,2.7835070635971634e-05,5.774084752812427e-07,0.0
Mauritius,-186.5,48.0,234.5,0.8,0.4,1261041.0,0.2046908315565032,3.806379015432488e-05,0.00018595747481644134,0.4
Mexico**,-171809.2,334041.4,505850.6,0.34,0.17,129739759.0,0.6603558441958951,0.0025747034106946352,0.003898963616850868,0.17
Micronesia,48.0,50.5,2.4,0.1,0.1,112630.0,21.041666666666668,0.00044837077155287223,2.1308709935186007e-05,0.0
Moldova,-82.9,53.6,136.5,0.61,0.3,2457783.0,0.39267399267399267,2.180827192636616e-05,5.5537856678152625e-05,0.31
Monaco,115.2,162.8,47.6,0.1,0.1,38956.0,3.420168067226891,0.00417907382688161,0.0012218913646164903,0.0
Mongolia,369.6,396.6,27.0,0.1,0.1,3481145.0,14.68888888888889,0.00011392803229971749,7.756068764731144e-06,0.0
Montenegro,12.3,27.7,15.4,0.1,0.1,616177.0,1.7987012987012987,4.495461531345701e-05,2.499281862192195e-05,0.0
Morocco*,3363.8,5268.6,1904.9,0.1,0.1,37712505.0,2.7658144784503125,0.00013970432353936713,5.0511097048578454e-05,0.0
Mozambique,-66.4,149.7,216.1,0.31,0.15,33635160.0,0.6927348449791763,4.450699803419993e-06,6.42482449912532e-06,0.16
Namibia,-114.7,160.5,275.2,0.42,0.21,2963095.0,0.5832122093023256,5.416633621264252e-05,9.287586121943441e-05,0.21
Nauru,-1.3,0.9,2.2,0.59,0.3,11875.0,0.40909090909090906,7.578947368421052e-05,0.00018526315789473685,0.29
Nepal,0.4,120.9,120.5,0.1,0.1,29694614.0,1.0033195020746888,4.0714454143098145e-06,4.057974958017639e-06,0.0
New Caledonia,-4.5,29.4,33.8,0.13,0.1,289870.0,0.8698224852071006,0.00010142477662400386,0.00011660399489426293,0.03
New Zealand,-1117.6,4499.4,5617.0,0.2,0.1,5223100.0,0.8010325796688623,0.000861442438398652,0.001075414983438954,0.1
Nicaragua**,-1681.3,2941.0,4622.3,0.36,0.18,6823613.0,0.6362633321073924,0.0004310033408987292,0.0006773977363604883,0.18
Niger,34.9,43.3,8.3,0.1,0.1,26159867.0,5.216867469879517,1.6552071919937513e-06,3.1727990054383687e-07,0.0
Nigeria,-1524.9,4174.3,5699.2,0.27,0.13,227882945.0,0.7324361313868614,1.8317737643771454e-05,2.5009330996665854e-05,0.14
North Macedonia,-113.1,60.6,173.7,0.65,0.33,1827816.0,0.34887737478411057,3.315432187922636e-05,9.503144736669336e-05,0.32
Norway,-1991.3,4592.0,6583.3,0.3,0.15,5519594.0,0.6975225191013625,0.0008319452481468745,0.0011927145366126568,0.15
Oman*,634.3,1954.3,1320.0,0.1,0.1,5049269.0,1.480530303030303,0.00038704612489451443,0.0002614239803821108,0.0
Pakistan,-2988.5,2135.1,5123.7,0.58,0.29,247504495.0,0.416710580244745,8.626509995303318e-06,2.0701442210170768e-05,0.29
Palau,18.8,21.0,2.2,0.1,0.1,17727.0,9.545454545454545,0.0011846336097478423,0.00012410447340215492,0.0
Panama*,10146.3,10702.1,555.8,0.1,0.1,4458759.0,19.255307664627566,0.002400241861020073,0.00012465351906214262,0.0
Papua New Guinea,-12.0,67.2,79.2,0.15,0.1,10389635.0,0.8484848484848485,6.467984678961292e-06,7.6229819430615225e-06,0.04999999999999999
Paraguay,2802.3,3158.4,356.2,0.1,0.1,6844146.0,8.86692869174621,0.0004614746675480038,5.204447713418153e-05,0.0
Peru*,1860.6,11223.8,9363.2,0.1,0.1,33845617.0,1.1987141148325358,0.000331617532633546,0.0002766443879572354,0.0
Philippines,-4880.3,9297.3,14177.6,0.34,0.17,114891199.0,0.6557738968513711,8.092264752150423e-05,0.00012340022667880766,0.17
Qatar,1970.1,3804.2,1834.2,0.1,0.1,2656032.0,2.0740377276196704,0.0014322869603980673,0.0006905790291683233,0.0
Russia,-2481.4,526.1,3007.5,0.83,0.41,143826130.0,0.17492934330839569,3.6578888690114933e-06,2.0910664842334284e-05,0.42
Rwanda,14.5,44.8,30.2,0.1,0.1,13954471.0,1.4834437086092715,3.2104405820901415e-06,2.164180928105408e-06,0.0
Samoa,48.7,54.4,5.7,0.1,0.1,216663.0,9.543859649122806,0.00025108117214291315,2.6308137522327303e-05,0.0
San Marino,54.8,80.0,25.2,0.1,0.1,33860.0,3.174603174603175,0.002362669816893089,0.0007442409923213231,0.0
Sao Tome and Principe (-),111.0,222.0,219.0,0.1,0.1,230871.0,1.0136986301369864,0.0009615759450082513,0.0009485816754811129,0.0
Saudi Arabia,443.3,13177.0,12733.7,0.1,0.1,33264292.0,1.0348131336532194,0.00039613048129808387,0.0003828038787057305,0.0
Senegal,115.7,350.9,235.1,0.1,0.1,18077573.0,1.4925563589961717,1.941079148179902e-05,1.3005064341325021e-05,0.0
Serbia,-604.5,209.9,814.4,0.74,0.37,6623183.0,0.2577357563850688,3.169171076807028e-05,0.00012296202596244132,0.37
Seychelles,9.4,16.5,7.2,0.1,0.1,119773.0,2.2916666666666665,0.0001377605971295701,6.011371511108514e-05,0.0
Sierra Leone,91.1,119.9,28.7,0.1,0.1,8460512.0,4.177700348432056,1.4171719158367721e-05,3.392229690118045e-06,0.0
Singapore*,2828.9,46032.6,43203.7,0.1,0.1,5917648.0,1.065478188210732,0.007778867550080708,0.007300822894501328,0.0
Sint Maarten,652.4,753.9,101.5,0.1,0.1,42749.0,7.427586206896551,0.01763550024561978,0.002374324545603406,0.0
Solomon Islands,11.8,13.1,1.3,0.1,0.1,5426740.0,10.076923076923077,2.4139722927577146e-06,2.3955450233473506e-07,0.0
Somalia,46.6,49.1,2.5,0.1,0.1,18358615.0,19.64,2.6744936913814033e-06,1.3617584986667024e-07,0.0
South Africa,-8836.8,5819.0,14655.8,0.6,0.3,63212384.0,0.3970441736377407,9.205474674076522e-05,0.00023185013873230914,0.3
South Sudan,58.5,59.3,0.8,0.1,0.1,11483374.0,74.12499999999999,5.163987517954218e-06,6.966593616127108e-08,0.0
Sri Lanka,-2647.4,368.2,3015.6,0.88,0.44,22037000.0,0.12209842154131847,1.6708263375232563e-05,0.0001368425829287108,0.44
St Kitts and Nevis,140.6,160.2,19.6,0.1,0.1,46758.0,8.173469387755102,0.0034261516745797507,0.0004191796056289833,0.0
St Lucia,1036.6,1043.6,7.0,0.1,0.1,179285.0,149.08571428571426,0.005820899684859302,3.904398025490141e-05,0.0
St Vincent and the Grenadines,135.0,143.2,8.3,0.1,0.1,101323.0,17.25301204819277,0.0014133020143501473,8.19162480384513e-05,0.0
Sudan,43.5,56.6,13.1,0.1,0.1,50042791.0,4.320610687022901,1.1310320401593909e-06,2.6177596689201446e-07,0.0
Suriname,292.6,383.5,90.9,0.1,0.1,628886.0,4.218921892189218,0.0006098084549504998,0.00014454130001303895,0.0
Switzerland,-38463.3,24962.0,63425.3,0.61,0.3,8888093.0,0.39356534379813735,0.0028084764639613917,0.007135985188273795,0.31
Syria (-),90.0,217.0,173.0,0.1,0.1,23594623.0,1.254335260115607,9.197010691800415e-06,7.332179030790193e-06,0.0
Tajikistan,52.2,56.8,4.6,0.1,0.1,10389799.0,12.347826086956522,5.466900755250414e-06,4.427419625730969e-07,0.0
Thailand,-45608.9,17719.2,63328.2,0.72,0.36,71702435.0,0.27979952059272173,0.0002471213146387567,0.0008832084991255876,0.36
Timor-Leste,13.1,19.0,5.9,0.1,0.1,1384286.0,3.2203389830508473,1.3725487363160503e-05,4.262125023297209e-06,0.0
Togo,193.6,283.6,90.0,0.1,0.1,9304337.0,3.151111111111111,3.048040929729867e-05,9.672908451187872e-06,0.0
Tonga,17.1,19.9,2.8,0.1,0.1,104597.0,7.107142857142857,0.0001902540225819096,2.6769410212529995e-05,0.0
Trinidad and Tobago,-386.2,2939.7,3325.9,0.12,0.1,1367510.0,0.8838810547520971,0.00214967349416092,0.0024320845917031684,0.01999999999999999
Tunisia,-619.6,503.6,1123.2,0.55,0.28,12200431.0,0.44836182336182334,4.127723028801196e-05,9.206232140487496e-05,0.27
Turkey,-1452.7,15293.0,16745.7,0.1,0.1,85325965.0,0.9132493714804397,0.00017923031986804953,0.00019625561808764777,0.0
Turkmenistan,67.6,82.2,14.6,0.1,0.1,7364438.0,5.630136986301371,1.1161747848240422e-05,1.9825002260864984e-06,0.0
Turks and Caicos Islands,702.6,713.6,11.0,0.1,0.1,46198.0,64.87272727272727,0.015446556127970908,0.00023810554569461882,0.0
Tuvalu (-),106.0,226.0,222.0,0.1,0.1,9816.0,1.018018018018018,0.02302363488182559,0.022616136919315404,0.0
Uganda,-26.3,106.3,132.6,0.2,0.1,48656601.0,0.801659125188537,2.1846984338260703e-06,2.7252211883851073e-06,0.1
Ukraine,497.0,1683.5,1186.5,0.1,0.1,37732836.0,1.4188790560471976,4.4616312434082615e-05,3.1444760738365916e-05,0.0
United Arab Emirates,19494.9,26969.3,7474.4,0.1,0.1,10483751.0,3.6082227335973456,0.0025724857448445695,0.000712950927583076,0.0
United Kingdom,11856.9,79941.3,68084.5,0.1,0.1,68350000.0,1.1741483010083058,0.0011695874177029993,0.0009961155815654719,0.0
Uruguay,420.2,1649.0,1228.8,0.1,0.1,3388081.0,1.3419596354166667,0.00048670619149896355,0.0003626831826039578,0.0
Uzbekistan,338.4,380.8,42.4,0.1,0.1,35652307.0,8.981132075471699,1.0680935738604518e-05,1.1892638532479819e-06,0.0
Vanuatu,-6.1,7.6,13.7,0.45,0.22,320409.0,0.5547445255474452,2.3719683279807996e-05,4.275785012281178e-05,0.23
Venezuela,-1755.8,4232.0,5987.9,0.29,0.15,28300854.0,0.706758629903639,0.00014953612353888686,0.00021158018765087442,0.13999999999999999
Vietnam,-123463.0,13098.2,136561.2,0.9,0.45,100352192.0,0.09591450573076393,0.00013052231086292565,0.0013608193032793943,0.45
Yemen,125.2,134.1,8.9,0.1,0.1,39390799.0,15.067415730337077,3.4043483098679974e-06,2.2594108842524368e-07,0.0
Zambia,-55.3,113.8,169.1,0.33,0.16,20723965.0,0.6729745712596097,5.49122718553134e-06,8.159635475161244e-06,0.17
Zimbabwe,-24.1,43.8,67.8,0.36,0.18,16340822.0,0.6460176991150443,2.6804037153088136e-06,4.149118079861588e-06,0.18
